commit	kv_dtype	d64	d512	d2048	d8192	d32768	e64	e512	e2048	e8192	e32768	geo	status	description
6597ba14	fp8_e4m3fn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	fail	baseline crash: FP8 minimax head128 decode missed exact-plane TMA gate
c94a3512	fp8_e4m3fn	1.296	1.044	1.033	1.002	1.010	0.000	0.000	0.000	0.000	0.000	1.102	keep	minimax decode bs1-4 ctx128..131072; d*=worst per context, no extend per scope
eb70b4cc	fp8_e4m3fn	1.302	1.056	1.049	1.024	1.015	0.000	0.000	0.000	0.000	0.000	1.111	probe	minimax decode row0 gqa6 path on c94 planner; below rs4 102054e6 bar
9830fcbe	fp8_e4m3fn	1.341	1.053	1.052	1.024	1.019	0.000	0.000	0.000	0.000	0.000	1.110	discard	minimax decode single-request fp8 q-copy helper; no gain over row0 probe
c2ba6053	fp8_e4m3fn	1.365	1.091	1.079	1.059	1.040	0.000	0.000	0.000	0.000	0.000	1.139	probe	row0 minimax decode with manual graph_ctas_per_sm=1; close to rs4 bar but below 1.143
8b3fde30	fp8_e4m3fn	1.395	1.105	1.091	1.061	1.045	0.000	0.000	0.000	0.000	0.000	1.149	keep	minimax fp8 decode row0 local-warp merge with manual graph_ctas_per_sm=1; beats rs4 102054e6 bar
8b3fde30	fp8_e4m3fn	1.354	1.067	1.045	1.030	1.015	0.000	0.000	0.000	0.000	0.000	1.118	probe	minimax fp8 decode row0 local-warp merge under default cta heuristic; bs2-4 still cta2
30b5f442	fp8_e4m3fn	1.372	1.102	1.086	1.064	1.048	0.000	0.000	0.000	0.000	0.000	1.147	keep	full minimax fp8 decode row0 local-warp merge plus exact gqa6 cta1 planner; beats rs4 102054e6 bar
958d8f11	fp8_e4m3fn	1.359	1.108	1.085	1.067	1.051	0.000	0.000	0.000	0.000	0.000	1.147	discard	minimax fp8 decode paired row0 pv dequant loads; no geomean gain over 30b5f442
9c7659a1	fp8_e4m3fn	1.354	1.104	1.080	1.057	1.046	0.000	0.000	0.000	0.000	0.000	1.144	discard	minimax fp8 decode row0 metadata trim; regressed bs2-4 long contexts
f31dd95a	fp8_e4m3fn	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	crash	minimax fp8 decode fixed_split_pages=64 probe; capture exceeds padded graph budget
f31dd95a	fp8_e4m3fn	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	crash	minimax fp8 decode fixed_split_pages=128 probe; slow bs1 then capture exceeds padded graph budget
ca9b279c	fp8_e4m3fn	1.410	1.106	1.086	1.062	1.044	0.000	0.000	0.000	0.000	0.000	1.152	keep	minimax fp8 decode paired row0 qk k loads stacked on 30b5f442; rerun held above rs4 8189ad8e bar
32b5e8ff	fp8_e4m3fn	1.398	1.115	1.082	1.064	1.049	0.000	0.000	0.000	0.000	0.000	1.155	keep	minimax fp8 decode early row0 K-stage release before softmax; rerun improved bs3-4 long contexts
f96973bc	fp8_e4m3fn	1.397	1.121	1.076	1.067	1.052	0.000	0.000	0.000	0.000	0.000	1.154	discard	minimax fp8 decode preload row0 QK second Q tile; no gain over 32b5e8ff
